"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51","sample52","sample53","sample54","sample55","sample56","sample57"
"Erich1",18.3493,1.1288,1.04106,7.6306,0,0,9.67447,147.191,0,8.63583,48.4013,16.9146,0,4.32349,6.37345,2.26655,2.44733,15.4214,0,1.00321,1.04722,21.4854,2.98441,13.0089,18.4139,4.08643,3.15828,11.1805,55.0962,0,4,16.3267,0,4.73747,107.605,31.6707,2.28757,5.64179,1.31883,1.98553,64.283,130.297,3.3045,2.45712,2.19456,3.40827,9.13351,13.7333,40.0052,44.2669,0,2.13922,16.0424,3.20995,19.0116,2.15738,0
"Erich2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erich3",0,0,0,0,0,0,1.00047,1.56162,0,0,0,0,0,2.00247,0,0,0,4.0068,0,0,76.2384,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1.01208,1,1.00029,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0
"Erich4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erich5",0,1.14501,0,4.86103,0,0,1.07159,1.1356,0,0,17.7644,0,0,0,5.65544,0,0,3.30894,0,1.42547,1.26122,0,3.59115,2.121,0,11.4475,1.27246,5.40312,0,4.54254,1.0023,1.27701,0,0,0,0,1.76277,0,3.52536,0,5.2275,0,1.02774,4.54333,32.3978,1.65566,13.1247,2.71969,2.38132,0,1.2175,0,1.16668,2.03916,0,9.17381,1.12735
"Erich6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erich6b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erlec1",2,0,0,36.2465,0,0,34,26,0,0,0,0,0,0,0,0,70,46.5434,0,31,0,0,0,6,210.298,0,108.125,3.01109,0,0,0,0,0,353.503,48.2591,1,58,8,108,0,0,1,1,0,1,217,0,18,0,19,0,0,109.31,1,0,15,2.20362
"Erlin1",0,0,0,0.999999976,0,477.99979812,31.999978094,0,0,0,0,0,0,0.99999989456,0,0,0,0,0,0.99999969914,0,0,0,0,169.00018834,0,0,0,0,0.9999998805,0,0,0,86.000045153,0,0,0,0,0,0,0,0,1.0000000867,29.000018316,0,0,22.000032411,0,0,0,9.00000081,0,0,1.99999626934,0,1.0000004848,96.99997752
"Erlin2",0,0,0,120,3,0,74,0,0,0,0,0,1,115,0,0,0,111,1,0,0,1,0,1,0,0,6,0,1,0,0,23,1,1,0,0,0,10,2,23,0,1,613,0,0,0,0,1,6,0,0,0,3,0,0,1,4
"Ermap",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.5568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ermard",0,0,0,9,100.93558,0,7,3,0,102.99996,52,0,37,234.00000502231,0,0,48,30,0,0,0,3.999998,3,11,83,0,5,2.999996,32.00001,12,33.99998,0,197.0004,388.0002,658.0004,1,2,0,104.99997,98.9999,1,1,886,200.9428,2,5,0,67,51.00004,31,2,0,129.9997,196.00042,14,7,27.99998
"Ermn",0,0,0,16.1223,1.18606,0,6.34885,1.51695,0,13.6859,0,5.37123,0,1.07993,0,4.79738,0,23.5983,0,12.5349,1.17036,2.68561,49.1996,9.34493,8.47304,1.7316,12.648,2.63142,1.73823,4.53758,0,0,0,12.0799,11.5404,0,12.0458,43.8082,4.31787,4.25919,1.1709,0,1.03169,0,20.3756,0,48.7589,7.205,49.8722,4.86916,9.33002,16.1209,4.46554,4.64368,0,5.81399,0
"Ermp1",3.17379,5.17729,0,16.3216,39.1688,8.06263,8.13633,4.91462,0,126.17,2.36079,43.1069,1.01805,16.3268,1.2293,1.09433,0,40.2074,0,0,0,2.45147,2.28965,39.5509,40.9665,4.00992,0,57.8826,0,3.14112,1,1.00555,2.26075,24.9463,8.89769,78.0238,0,83.5949,126.83,14.9289,59.5504,0,0,16.1584,5.76255,2.21356,23.3658,1.11814,25.7767,26.9066,2.92682,29.0112,48.6552,3.56663,0,0,3.59234
"Ern1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,147,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0
"Ern2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ero1l",1,1,1,7,7,0,83,201,1,25,0,20,0,223,0,7,0,24,1,4,4,605,3,29,122,1,4,3,2,32,2,0,18,3,6,0,158,44,68,38,472,20,28,22,0,0,17,214,0,88,1,1,615,1,101,12,85
"Ero1lb",141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"Erp27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erp29",10.28874,6.08141,4.08856,45.3043,3.27041,4.60098,658.155,205.7664,24.9839,17.0934,9.93844,25.518,0,11.6556,54.3846,854.495,30.2828,826.82,1.14332,10.3799838,64.6157,1.22483,10.1757831,187.8145,224.6043,7.35295,24.5037,13.1882,4.085224,25.6628,0,63.6954,58.1407,187.5119,251.9769,9.27715,25.6357,69.8485,166.269,63.452,55.69988,261.118,20.58292,7.54008,218.4799,4.036362,3.438939,198.0026,59.7288,196.9862,35.3866,34.0747,88.3638,204.8534,76.5723,129.9046,52.2766
"Erp44",0,3,58.9018,0,130,3,146.025,99.323,710.621,1,516,6.65624,0,1.13101,1,1,0,13.5288,0,0,0,6,2.27347,213,1,0,68.1125,1,51,0,0,0,116,19,278.969,1,0,1,93.7905,4,39,0,109.349,1,1,0,1,0,0,145,0,1.13384,6,35,21,0,4
"Errfi1",492.99952,0,0,0,0,0,1.0000003,0,0,0,0,0,0,0,8.999996,0,0,0,0,0,0,1.0000002,0,0,65.99999,0,0,0,0,0,0,0,0,0,0,0,24,0,9.999999,127.99953,0,2.000002,0,0,0,0,3.999999,0,0,0,22,0,1,0,0,49.00004,1.0000005
"Erv3",0,0,0,0,8.4023,0,0,0,0,4.21894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00072,0,0,0,0,0,0,0,0,9.1089,0,0,1.0463,0,0,0,2.12849,0,0,3.00527,0,0,0,0,0,0,0,0,0,0,0,0
"Esam",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Esco1",0,0,0,199,0,0,69,6,0,1,0,1.999999,1,4.0235,1,46,0,0,1,1,0,1,0,12.90194,308.452,1430,25,0,1,0,161,3,112,336.1877,1051.64,1,252,0,0,99.99997,3,1,548,0,1,1,204,1.999997,14,238.99971,0,2,27,91.3323,0,0,109
"Esco2",147,0,0,0,95.8406,0,1,252.517,2,13,1,0,5,1,1,440,0,1,2,1,1,0,0,0,1,0,7,1,0,1,2,477,2,0,0,0,1,0,64,2,43,0,1,414,103,1,3,789.796,257.891,7,1,1,353.709,1,0,3,126
"Esd",3,5,548.92190573518,237.96543,5.999995,9,114.999960112695,193.75774,124.0001,4.9999971,0,21,440.00018969,334.99962,2.68852,5.000003,308.40277724,413.0005,3.73198,2.000005,3,59.00002,0,217.99998,53.00003,195.9996315,2,151.00015,3,8,783.9231,0,74.99999,193.99955,19,6,4,1,120.9998318,328.0001,2.000004,1,344.9517937,93.00009,2,7.00000175,52,17.000002,237.99983478411,144.871814337,292.0004,2,187.9999,304.999700010924,4,57,196.99955
"Esf1",1,0,0,65,28,1,76,73,210.58,58,299,3,227,241,1428,154,37,81.4013,11,0,40,22,138,75,164,31,141,23,879,21,1.15496,256,8,66,53,198,197,129,68,50,668,2,35,99,87,925,30,206.391,31,8.07828,39.6509,86,56,285,48,92,45
"Esm1",0,0,0,0,0,0,0,1.0071,0,0,0,1.00214,0,0,0,1.00931,0,0,0,0,0,1.00364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.1749,0,0,0,0,0,0,0,0,0,0,0,0
"Esp1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Esp15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Esp16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Esp18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Esp23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Esp24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Esp3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Esp31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Esp34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Esp36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Esp38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Esp4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Esp6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,1.05886,0,1.14507,0,0,0,0,0,0,0,0,1.08738,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Esp8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
