"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51","sample52","sample53","sample54","sample55","sample56","sample57","sample58","sample59"
"Grid2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grid2ip",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grifin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grik1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grik2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,118,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grik3",1.00432,43.2864,1.05233,0,1.0932,4.40659,18.8801,0,0,4.09146,0,4.2204,3.80366,0,14.323,0,0,16.5405,10.8584,8.10697,2.79309,0,13.2096,0,10.2203,3.82667,2.02019,4.11328,16.673,3.05911,2.63557,2.10513,1.00302,3.3214,1.05411,6.21097,0,2.60594,1.00305,0,3.1136,5.73304,7.11858,0,22.6215,6.05797,51.49,40.05,5.00938,3.14251,7.12754,2.12967,1.17193,1829.31,1.00781,0,18.3845,0,0
"Grik4",9.09955,21.0866,4.002,4.00661,3.03322,11.7648,11.051,8,10.005,23.2571,4,9.01129,6.06116,6.00843,14.0368,4.00973,9.78537,12.0368,15.0188,16.0985,9.01329,10,4.01131,6.01019,20.027,11.0076,7.00495,15.0875,11.6596,16.3669,19.0482,9.00989,4.00565,12.239,7.11014,6.0436,6.0278,21.1027,6.00068,9,28.4718,13.0498,4.06839,9.06612,3.0015,6.00938,8.0119,17.039,11.018,9.1134,17.1537,8.01954,17.0041,16.0561,15.0308,5.00559,14.3164,11.0065,6.05128
"Grik5",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grin1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grin2a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grin2b",0,1.00233,12.0012,0,1.00011,7.12096,5.39799,0,3.156056,6.0053,1.00005,3.01549,1.00328,0,0,1.00026,0,0,4.01089,1.0753,0,0,1.0008,1.00099,2.147307,1.00039,2.0001,1.0778,2.08033,12.89514,0,0,1.23119,1.00088,1.00013,1.00118,0,0,1.00056,1.01082,0,30.4809,12.00271,0,0,1.00034,0,14.2322,2.167843,3.106432,25.03011,0,0,5.05259,0,0,7.75663,0,1.00137
"Grin2c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grin2d",1,1,0,0,0,113,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Grin3a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999999595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000002,0,0,0,0,0,0.999999819,0
"Grin3b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grina",0,0,3,2,6,483,3,1,49,6,20,1,129,1,55,2,0,45,7,1,0,0,46,9,3,96,1,1,0,0,7,110,27,1,838,4,5,9,6,0,0,3,1,3,3,3,0,0,0,0,1,15,0,0,1,2,0,0,3
"Grip1",0,0,0,0,0,0,13,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4184000349364,0,0,0,0,0,0,0,0,0,0,0,0,0,223.9995,0,1
"Grip2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1872.52,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gripap1",0,2.11999,0,0,0,0,0,0,2,2088.27272,0,0,1,0,0,0,0,83.93869,0,0,0,0,0,1.10548,0,1,21,0,0,0,0,0,0,121.1406,0,0,0,0,0,0,0,0,0,0,0,4.21235,0,0,0,1.47278,92,0,0,0,0,2,82.7788,2,0
"Grk1",4.29726,1.33418,0,0,0,4.03408,1.79311,0,22.182,9.16075,0,5.53547,45.8738,0,0,49.2008,1.907,0,26.1581,30.2589,84.6042,0,8.33415,0,9.24544,0,1.95621,2.58668,21.2191,6.45284,1.66668,8.07575,180.647,34.0343,27.2944,1.9364,0,0,0,0,2.78441,19.5058,0,0,0,18.1037,12.392,45.0128,8.75564,0,6.47573,0,4.72554,15.1253,0,0,34.636,0,0
"Grk2",2,3,0,0,0,77,7,0,0,593,0,303.6203,23,2,0,0,0,109,0,9,0,0,0,0,211,1,0,1,0,7,0,0,2,2.000002,0,772.4328,0,76.99996,4.000003,0,0,2,0,1,0,50.00004,16.00004,0,292,34,0,0,0,0,1,2,72.99998,0,166
"Grk3",0,344,0,0,0,0,14,0,0,1,71,0,0,0,3,1,1,0,14.154,1.0632,1,44,0,1,7.59966,0,1.10892,0,0,1,0,11.737,1.00766,0,0,0,0,4,0,0,1.03593,0,1.04701,0,1,0,43,0,0,3.12666,0,0,0,0,0,1,1.00594,0,16
